PMC7120876	Pflanzenphysiologie
PMC5028257	Semin_Cell_Dev_Biol
PMC4962295	Version_1
PMC7113859	J_Virol_Methods
PMC5112765	Clin_Epigenetics
PMC4993074	Front_Genet
PMC4776351	BMC_Bioinformatics
PMC5322302	ISME_J
PMC5165249	Front_Microbiol
PMC5050482	J_Infect_Dis
PMC4851175	Hum_Gene_Ther_Clin_Dev
PMC5662211	RSC_Adv
PMC4746700	Sci_Rep
PMC4991405	Oncotarget
PMC5330813	Lancet_Infect_Dis
PMC4758666	PLoS_Negl_Trop_Dis
PMC5040955	Sci_Rep
PMC5850217	Hum_Reprod_Update
PMC4875947	Anal_Bioanal_Chem
PMC5142235	Am_J_Physiol_Renal_Physiol
PMC5034324	Sci_Rep
PMC4968656	J_Exp_Bot
PMC5088573	Front_Microbiol
PMC4896142	Chin_J_Cancer
PMC5040593	Cell_Mol_Life_Sci
PMC4890251	BMC_Med
PMC5070300	ESMO_Open
PMC5302930	Oncotarget
PMC5524458	Cancer_Metastasis_Rev
PMC5087600	Dev_Psychopathol
PMC5098332	Dev_Psychopathol
PMC4995420	Intractable_Rare_Dis_Res
PMC4803482	Sci_Adv
PMC4942934	Arthritis_Res_Ther
PMC4881295	Genome_Biol
PMC5153645	Sci_Rep
PMC4764839	Sci_Rep
PMC4765110	BMC_Bioinformatics
PMC5018727	Sci_Rep
PMC5130983	Front_Neurosci
PMC5210662	Nucleic_Acids_Res
PMC4948712	Mol_Biol_Evol
PMC4786648	Genome_Announc
PMC5503467	Nat_Rev_Neurosci
PMC5198521	Bioinformatics
PMC4987641	Sci_Rep
PMC5210555	Nucleic_Acids_Res
PMC4742279	PLoS_Comput_Biol
PMC4917956	BMC_Genomics
PMC4882947	Genome_Announc
PMC4711071	BMC_Bioinformatics
PMC5359403	Microb_Genom
PMC4810848	Proc_Biol_Sci
PMC4943006	Genome_Biol
PMC4717611	Genome_Biol
PMC4894901	Front_Microbiol
PMC4996463	PLoS_One
PMC4919419	Genome_Announc
PMC5282599	Curr_Genomics
PMC5509230	Curr_Plant_Biol
PMC5100048	Mol_Biol_Evol
PMC5009822	BMC_Bioinformatics
PMC4861853	Front_Plant_Sci
PMC4834206	Database_
PMC5170891	Genome_Biol
PMC4750851	PLoS_One
PMC4961188	Proc_Natl_Acad_Sci_U_S_A
PMC5260104	BMC_Bioinformatics
PMC4978896	G3_
PMC5082898	mBio
PMC4942929	Genome_Biol
PMC4867773	Sci_Rep
PMC4856921	Comp_Cytogenet
PMC5207150	J_Biol_Chem
PMC4858832	Genome_Biol
PMC5067155	Nat_Microbiol
PMC5320705	Microb_Genom
PMC5040422	Evol_Bioinform_Online
PMC5100864	G3_
PMC4896128	Sci_Data
PMC4742230	PLoS_Comput_Biol
PMC5630921	Genome_Biol_Evol
PMC4929753	BMC_Bioinformatics
PMC5189630	Oncologist
PMC4853749	Front_Microbiol
PMC4848470	Sci_Rep
PMC4809885	Front_Genet
PMC5576868	Arterioscler_Thromb_Vasc_Biol
PMC5153821	Gut_Pathog
PMC5199161	Database_
PMC4792528	Database_
PMC5105172	Nat_Commun
PMC5080361	Front_Plant_Sci
PMC5210575	Nucleic_Acids_Res
PMC5198554	Toxins_
PMC4974804	BMC_Genomics
PMC4929541	Biology_
PMC5123253	BMC_Bioinformatics
PMC5320926	Bioinformation
PMC4864936	Genome_Biol
PMC5024134	Sci_Rep
PMC4921485	Front_Microbiol
PMC5118889	BMC_Genomics
PMC5128809	Sci_Rep
PMC4771312	Appl_Environ_Microbiol
PMC4805530	eLife
PMC5070703	BMB_Rep
PMC4886054	Front_Microbiol
PMC4987874	Nucleic_Acids_Res
PMC4961126	Proc_Natl_Acad_Sci_U_S_A
PMC4888434	J_Hered
PMC5105111	Genome_Announc
PMC4959372	BMC_Genomics
PMC4995954	Proc_Natl_Acad_Sci_U_S_A
PMC5093776	Genomics_Proteomics_Bioinformatics
PMC4823976	Genome_Biol_Evol
PMC4814128	PLoS_One
PMC5192330	Int_J_Genomics
PMC5135748	BMC_Genomics
PMC4837449	Nat_Commun
PMC4737851	Nat_Commun
PMC4955033	Curr_Genomics
PMC5159569	Genome_Announc
PMC5056774	Bacteriophage
PMC4750946	PLoS_Negl_Trop_Dis
PMC5287132	Genomics_Inform
PMC4889656	G3_
PMC4807529	Appl_Environ_Microbiol
PMC4764514	PLoS_One
PMC5001211	BMC_Genomics
PMC4873745	Sci_Rep
PMC5100275	BMC_Evol_Biol
PMC4771134	PLoS_One
PMC4861247	ISME_J
PMC4817265	mBio
PMC4860704	Genome_Biol_Evol
PMC5566170	Plant_Mol_Biol
PMC4987105	Genome_Biol_Evol
PMC4896439	PLoS_One
PMC4856976	Nucleic_Acids_Res
PMC5135808	BMC_Bioinformatics
PMC5099574	Sci_Rep
PMC5026716	J_Mol_Neurosci
PMC4991833	DNA_Res
PMC4833421	DNA_Res
PMC5035665	Cancer_Metastasis_Rev
PMC5043468	Plant_Biotechnol_J
PMC5064852	Atherosclerosis
PMC5177744	Front_Microbiol
PMC5243181	Cancer_Res
PMC5633685	Genome_Biol_Evol
PMC4786541	Front_Microbiol
PMC5105663	J_Virol
PMC4973220	Sci_Rep
PMC4920351	PLoS_One
PMC5210722	Plant_Physiol
PMC4981812	Am_J_Public_Health
PMC4867048	Glob_Health_Action
PMC5009566	BMC_Med_Genomics
PMC4700677	BMC_Med_Genomics
PMC5439286	Brief_Funct_Genomics
PMC4852475	Front_Plant_Sci
PMC4755617	PLoS_Med
PMC5131820	Genome_Res
PMC4862762	EGEMS_
PMC5154134	Genome_Med
PMC5265847	Medicine_
PMC5080349	Front_Plant_Sci
PMC5080353	Front_Plant_Sci
PMC4955030	Curr_Genomics
PMC4780809	PLoS_Genet
PMC4780794	Breed_Sci
PMC4891951	Blood
PMC5155386	Genome_Biol
PMC4855019	Genet_Res_Int
PMC5951171	Semin_Cell_Dev_Biol
PMC5072744	PLoS_Pathog
PMC4938670	G3_
PMC4829868	Sci_Rep
PMC4794925	BMC_Genomics
PMC4798206	Version_1
PMC4895288	BMC_Genomics
PMC4804509	BMC_Bioinformatics
PMC4948866	J_Biomed_Inform
PMC5052552	Appl_Clin_Inform
PMC5080404	mSystems
PMC5140282	Nat_Methods
PMC7171904	International_Encyclopedia_of_Public_Health
PMC4938664	G3_
PMC4704391	Biotechnol_Biofuels
PMC4977732	BMC_Genomics
PMC4991836	DNA_Res
PMC4889654	G3_
PMC4766357	PLoS_One
PMC5131817	Genome_Res
PMC4824487	PLoS_Genet
PMC4921830	Sci_Rep
PMC4935753	Mamm_Genome
PMC5557020	Genet_Med
PMC5121179	Theor_Appl_Genet
PMC5315539	Transl_Psychiatry
PMC4735379	Front_Psychol
PMC5000844	Blood
PMC5295591	G3_
PMC5033361	Appl_Plant_Sci
PMC5025152	PLoS_Comput_Biol
PMC4919057	PLoS_Comput_Biol
PMC5012387	Genetics
PMC4911401	Front_Microbiol
PMC4805649	Front_Plant_Sci
PMC4827625	Nat_Rev_Genet
PMC5198206	Insects
PMC5087827	Dis_Model_Mech
PMC5456221	Medicines_
PMC4803732	Front_Plant_Sci
PMC5077632	Trends_Cell_Biol
PMC4880943	Sci_Rep
PMC4931509	Hum_Gene_Ther
PMC4935971	Nat_Commun
PMC4838384	Nucleic_Acids_Res
PMC4928038	Front_Microbiol
PMC5085884	Genet_Med
PMC4921789	Database_
PMC4824784	Front_Plant_Sci
PMC4863243	Circ_Res
PMC4777911	Cardiovasc_Res
PMC4986337	BMC_Genomics
PMC5429592	Pediatr_Blood_Cancer
PMC4746597	Sci_Rep
PMC5302158	Version_2
PMC5346725	Oncotarget
PMC5815160	FEMS_Yeast_Res
PMC5059443	Nat_Commun
PMC5024332	Genom_Data
PMC5394710	Virusdisease
PMC4937568	Genome_Res
PMC4858954	J_Anim_Sci_Biotechnol
PMC5380525	Mod_Pathol
PMC5133492	BMC_Bioinformatics
PMC5412878	Mol_Ecol
PMC4895181	Sci_Rep
PMC4966962	PLoS_Comput_Biol
PMC4981137	Plant_Cell
PMC4788823	BMC_Res_Notes
PMC4756442	Biol_Direct
PMC4739771	eLife
PMC5175370	Nucleic_Acids_Res
PMC5697154	Ann_N_Y_Acad_Sci
PMC5001238	BMC_Genomics
PMC4720795	Front_Behav_Neurosci
PMC5068321	Proc_Natl_Acad_Sci_U_S_A
PMC5098252	Sci_Rep
PMC5130901	Cell_Rep
PMC7531416	Anästhesie_und_Intensivmedizin_für_die_Fachpflege
PMC5642928	Expert_Rev_Precis_Med_Drug_Dev
PMC5124321	BMC_Genomics
PMC5391733	J_Am_Med_Inform_Assoc
PMC6146394	J_Biomed_Inform
PMC5023957	Nat_Commun
PMC5863786	Brief_Bioinform
PMC4970615	Bioinform_Biol_Insights
PMC4853962	Int_J_Genomics
PMC4905540	Genetics
PMC5114810	BMC_Genomics
PMC5706769	Nat_Genet
PMC4868595	PeerJ
PMC4862326	Sci_Data
PMC4862746	Bioinform_Biol_Insights
PMC4817136	Sci_Rep
PMC4801390	PLoS_One
PMC4982509	Lancet_Psychiatry
PMC4825656	G3_
PMC5210576	Nucleic_Acids_Res
PMC6075201	Bioinformatics
PMC6609160	Oncogene
PMC5210609	Nucleic_Acids_Res
PMC4962766	Database_
PMC4937362	Blood
PMC4802383	Sci_Rep
PMC4792531	Database_
PMC5123245	BMC_Bioinformatics
PMC5460076	Genet_Med
PMC5430590	Bot_Stud
PMC5225070	Genet_Med
PMC5050401	Curr_Neuropharmacol
PMC5146710	Integr_Comp_Biol
PMC5397703	J_Mol_Diagn
PMC4908179	Am_J_Hum_Genet
PMC4737523	Evol_Bioinform_Online
PMC5053366	Nat_Rev_Microbiol
PMC5193045	Commun_Integr_Biol
PMC5081968	Genome_Med
PMC5081557	Sci_Rep
PMC5081490	Front_Plant_Sci
PMC5685311	NPJ_Genom_Med
PMC5005611	Biomed_Res_Int
PMC4935845	Sci_Rep
PMC4982802	Hypertension
PMC4933369	PLoS_Genet
PMC4926094	Sci_Rep
PMC4921863	Sci_Rep
PMC4912229	Gene_Regul_Syst_Bio
PMC4980743	J_Orthop_Res
PMC4909483	EBioMedicine
PMC4839107	Malar_J
PMC4830809	Rice_
PMC4848140	Nat_Genet
PMC4891099	Oncotarget
PMC4736252	Biotechnol_Biofuels
PMC4729760	3_Biotech
PMC5689457	Methods_Mol_Biol
PMC5470591	Crit_Rev_Eukaryot_Gene_Expr
PMC5122167	BMC_Med_Res_Methodol
PMC5014868	Front_Pharmacol
PMC5015465	J_Stud_Alcohol_Drugs
PMC5007452	Br_J_Psychiatry
PMC4976536	Front_Pharmacol
PMC4971588	Front_Microbiol
PMC4976774	Metabolomics
PMC4961121	Proc_Natl_Acad_Sci_U_S_A
PMC4925718	Front_Plant_Sci
PMC4937462	Genetics
PMC4896647	PLoS_Comput_Biol
PMC4866047	Nat_Commun
PMC5288156	Oncotarget
PMC4851356	PLoS_One
PMC5512583	Clin_Oncol_
PMC4793686	Front_Microbiol
PMC4793744	BMC_Med_Genomics
PMC4788885	Parasit_Vectors
PMC4833453	Comput_Methods_Programs_Biomed
PMC4796706	Appl_Transl_Genom
PMC5260791	BMC_Med_Genomics
PMC4902974	BMC_Genomics
PMC5796528	Gynecol_Oncol
PMC5123410	BMC_Bioinformatics
PMC4823371	AoB_Plants
PMC5314647	Ann_Bot
PMC7176174	Medizinische_Mikrobiologie_und_Infektiologie
PMC5069325	Theor_Appl_Genet
PMC4839089	BMC_Plant_Biol
PMC4802715	Mol_Cytogenet
PMC5123398	Genet_Sel_Evol
PMC4831458	Evol_Appl
PMC5134274	Genet_Sel_Evol
PMC4959169	Appl_Environ_Microbiol
PMC4968760	Proc_Natl_Acad_Sci_U_S_A
PMC5314802	Nucleic_Acids_Res
PMC5081584	Proc_Natl_Acad_Sci_U_S_A
PMC4771382	PLoS_Genet
PMC5165125	Appl_Environ_Microbiol
PMC4791396	Front_Plant_Sci
PMC4937431	Sci_Rep
PMC4858867	BMC_Bioinformatics
PMC4971434	Front_Plant_Sci
PMC5100052	Mol_Biol_Evol
PMC5210572	Nucleic_Acids_Res
PMC5217105	G3_
PMC4829187	PLoS_One
PMC4742530	Front_Microbiol
PMC4728078	Curr_Biol
PMC5123046	Nat_Commun
PMC4974801	BMC_Genomics
PMC4828583	Front_Microbiol
PMC4841212	PeerJ
PMC5009526	BMC_Genomics
PMC5056899	Genomics_Inform
PMC4919336	Front_Microbiol
PMC4905642	PLoS_Genet
PMC4896728	Proc_Natl_Acad_Sci_U_S_A
PMC4912082	PLoS_Negl_Trop_Dis
PMC4956903	Data_Brief
PMC4767706	PLoS_One
PMC5112629	BMC_Genomics
PMC4700566	BMC_Genomics
PMC4794192	PLoS_One
PMC4866827	eLife
PMC4769843	BMC_Genomics
PMC4927122	PLoS_One
PMC4691742	Genome_Res
PMC4754876	BMC_Genomics
PMC5101817	Biol_Direct
PMC4806638	PeerJ
PMC5050501	Sci_Rep
PMC5050339	mBio
PMC4825655	G3_
PMC5127382	Proc_Natl_Acad_Sci_U_S_A
PMC4746555	Influenza_Other_Respir_Viruses
PMC4948326	Proc_Natl_Acad_Sci_U_S_A
PMC4836705	PLoS_One
PMC4829470	Curr_Microbiol
PMC4932966	Proc_Natl_Acad_Sci_U_S_A
PMC5822885	Virus_Evol
PMC4948709	Mol_Biol_Evol
PMC5064450	mSphere
PMC4828432	Front_Plant_Sci
PMC5568630	Cell_Syst
PMC4778914	PLoS_Genet
PMC4898812	Genome_Biol_Evol
PMC4994284	Gigascience
PMC4719536	Plant_Methods
PMC4977642	BMC_Genomics
PMC5144675	DNA_Res
PMC4890748	PLoS_Genet
PMC4986954	PLoS_One
PMC4905989	Microbiologyopen
PMC5635653	Genome_Biol_Evol
PMC5148886	BMC_Genomics
PMC4906896	BMC_Genomics
PMC5056350	Sci_Rep
PMC4895484	BMC_Genomics
PMC5069759	mSystems
PMC4836478	Bacteriophage
PMC5179053	PLoS_Genet
PMC4759782	Zoological_Lett
PMC5020087	Front_Plant_Sci
PMC5107635	Biosci_Microbiota_Food_Health
PMC4834387	Heredity_
PMC4956650	Front_Microbiol
PMC4927040	Evol_Bioinform_Online
PMC4736150	BMC_Genomics
PMC4781885	Front_Microbiol
PMC5069770	mSystems
PMC5145215	PLoS_One
PMC4849849	Cold_Spring_Harb_Mol_Case_Stud
PMC4941373	Oncotarget
PMC4751346	Front_Plant_Sci
PMC4716030	World_J_Gastroenterol
PMC5095515	Nat_Commun
PMC4989351	Genet_Sel_Evol
PMC4723046	PLoS_One
PMC5854090	Mol_Biol_Evol
PMC4989347	BMC_Cancer
PMC4794648	Sci_Rep
PMC4965314	Cell_Syst
PMC4864459	Genome_Res
PMC5015961	PLoS_Pathog
PMC6082621	Gigascience
PMC4723315	PLoS_One
PMC5521730	Genome_Biol_Evol
PMC4932875	Genom_Data
PMC5985476	Pathog_Dis
PMC5147823	PLoS_One
PMC5129617	Parasit_Vectors
PMC5633697	Genome_Biol_Evol
PMC4858530	Cell_Stem_Cell
PMC4822581	Proc_Natl_Acad_Sci_U_S_A
PMC5080715	BMC_Genomics
PMC4974788	BMC_Genomics
PMC7176207	Medizinische_Mikrobiologie_und_Infektiologie
PMC5038051	Appl_Environ_Microbiol
PMC4870493	Sci_Rep
PMC4987899	Nucleic_Acids_Res
PMC5156309	mBio
PMC4811931	Front_Microbiol
PMC5135103	PLoS_One
PMC4975002	Front_Microbiol
PMC5161289	Genetics
PMC4981986	BMC_Genomics
PMC4930623	BMC_Genet
PMC4864286	PLoS_Genet
PMC4799696	Zebrafish
PMC5489411	Eur_Urol
PMC4782296	J_Biomed_Sci
PMC4914261	Oncotarget
PMC5131786	Exp_Hematol
PMC4984656	J_Virol
PMC4943195	Genome_Biol_Evol
PMC4744853	Front_Microbiol
PMC4868327	PLoS_One
PMC4994249	BMC_Bioinformatics
PMC5105896	J_Bacteriol
PMC4898645	Bioinform_Biol_Insights
PMC4908340	Bioinformatics
PMC5177918	Sci_Rep
PMC4700661	J_Dent_Res
PMC5045873	PeerJ
PMC5226817	PLoS_Comput_Biol
PMC5084139	Springerplus
PMC4938499	PLoS_One
PMC4860692	Genome_Biol_Evol
PMC4788913	BMC_Genomics
PMC4761949	Sci_Rep
PMC5106847	Gut_Pathog
PMC5039931	BMC_Microbiol
PMC5038335	Antimicrob_Agents_Chemother
PMC4774407	Front_Microbiol
PMC4741004	BMC_Genomics
PMC5633665	Genome_Biol_Evol
PMC5001788	Nat_Commun
PMC5120174	mSphere
PMC5138436	Front_Microbiol
PMC4962626	Infect_Immun
PMC4885607	Database_
PMC4739603	PLoS_One
PMC5114773	Gut_Pathog
PMC4909306	DNA_Res
PMC4958990	Sci_Rep
PMC5120421	BMC_Genomics
PMC4895719	Nat_Commun
PMC4792442	PLoS_One
PMC4963935	Mob_DNA
PMC4749706	Front_Microbiol
PMC4726454	Curr_Protoc_Hum_Genet
PMC5030084	eLife
PMC5100595	Nucleic_Acids_Res
PMC4981718	mBio
PMC4836421	Appl_Environ_Microbiol
PMC5056178	Front_Plant_Sci
PMC4981457	PLoS_Genet
PMC5003264	Proc_Natl_Acad_Sci_U_S_A
PMC4948011	Front_Plant_Sci
PMC5381348	DNA_Res
PMC5015945	G3_
PMC4911795	mSphere
PMC4904181	Ann_Bot
PMC4892414	Bioinformatics
PMC4744016	PLoS_One
PMC4877703	Sci_Rep
PMC5135646	Dev_Biol
PMC5062944	BMC_Med_Genomics
PMC4842304	Algorithms_Mol_Biol
PMC5061818	Front_Plant_Sci
PMC4759559	Sci_Rep
PMC4920768	Indian_J_Microbiol
PMC4707515	Sci_Rep
PMC4917969	Nat_Commun
PMC4879533	Sci_Rep
PMC4933364	PLoS_One
PMC5177795	Front_Microbiol
PMC4948901	Appl_Plant_Sci
PMC5320598	Microb_Genom
PMC4931320	Nat_Commun
PMC5103461	BMC_Genomics
PMC5081660	Proc_Natl_Acad_Sci_U_S_A
PMC4978885	G3_
PMC4772642	BMC_Genomics
PMC4758665	PLoS_One
PMC5210588	Nucleic_Acids_Res
PMC5140021	PLoS_Genet
PMC5854124	Mol_Biol_Evol
PMC5012101	Biol_Direct
PMC4732336	Genome_Announc
PMC5168715	Genome_Biol
PMC5222933	Pflugers_Arch
PMC5018392	Database_
PMC4856823	Genom_Data
PMC4760125	Philos_Trans_A_Math_Phys_Eng_Sci
PMC7090707	Virol_Sin
PMC5157051	Front_Microbiol
PMC5123813	Cell_Host_Microbe
PMC5073890	BMC_Genomics
PMC4891872	Stand_Genomic_Sci
PMC4978471	PLoS_One
PMC4886759	J_Bacteriol
PMC4793524	BMC_Genomics
PMC5137778	Proc_Natl_Acad_Sci_U_S_A
PMC5000498	BMC_Genomics
PMC4862183	Biol_Proced_Online
PMC4850082	Arterioscler_Thromb_Vasc_Biol
PMC5175302	Malar_J
PMC5141418	Sci_Rep
PMC5059674	Nat_Commun
PMC5018957	Sci_Rep
PMC5002275	Rice_
PMC4971691	BMC_Genomics
PMC4971771	Genome_Res
PMC4888284	PeerJ
PMC4705527	Sci_Rep
PMC4817772	Genome_Res
PMC4810250	Viruses
PMC5123250	BMC_Genomics
PMC4828863	Malar_J
PMC4882956	Genome_Announc
PMC5499387	Virus_Evol
PMC4711805	PLoS_One
PMC5084420	BMC_Genomics
PMC5036109	PeerJ
PMC4981424	PLoS_Genet
PMC4881899	PLoS_One
PMC4747519	PLoS_One
PMC4889971	Genome_Res
PMC5429010	Brief_Bioinform
PMC5058520	Ecol_Evol
PMC4828714	Sci_Rep
PMC5189939	PLoS_Biol
PMC4862182	BMC_Genomics
PMC4858842	Genome_Biol
PMC4824352	PLoS_One
PMC5192698	Epigenetics_Chromatin
PMC5210664	Nucleic_Acids_Res
PMC5321499	Nature
PMC4978739	Front_Plant_Sci
PMC4778325	BMC_Genomics
PMC4775063	PLoS_One
PMC4732943	PLoS_Comput_Biol
PMC4700453	Sci_Rep
PMC5136561	Front_Microbiol
PMC5134118	Arthritis_Res_Ther
PMC5903559	Bioinformatics
PMC4846568	Hum_Mutat
PMC4955176	Asian_J_Androl
PMC5142436	BMC_Genomics
PMC5016917	Gigascience
PMC5009691	Stand_Genomic_Sci
PMC5074621	Plant_Physiol
PMC5320670	Microb_Genom
PMC4864206	PLoS_Negl_Trop_Dis
PMC4989318	ISME_J
PMC4691749	Genome_Res
PMC5161470	PLoS_One
PMC5069512	Proc_Biol_Sci
PMC5939913	Bioinformatics
PMC4991928	Adv_Exp_Med_Biol
PMC5095801	Plant_Biotechnol_J
PMC5411290	Biochem_Pharmacol
PMC5099688	Sci_Rep
PMC5293167	Bio_Protoc
PMC4851793	BMC_Genomics
PMC4909310	DNA_Res
PMC4770527	Breast_Cancer_Res
PMC4756857	Nucleic_Acids_Res
PMC4790876	Plant_Cell
PMC5381614	Genome_Biol_Evol
PMC4986183	BMC_Genomics
PMC4935994	Sci_Rep
PMC5008842	Sci_Rep
PMC4879520	Sci_Rep
PMC4964289	Nature
PMC4938663	G3_
PMC4854451	PLoS_One
PMC4848587	Viruses
PMC4734769	PLoS_Genet
PMC7189271	Biol_Methods_Protoc
PMC5203781	Genome_Biol_Evol
PMC5068157	Appl_Environ_Microbiol
PMC5224500	Nucleic_Acids_Res
PMC5012567	PLoS_One
PMC4989314	ISME_J
PMC5003237	Proc_Natl_Acad_Sci_U_S_A
PMC4964460	Int_J_Mol_Sci
PMC4883742	PLoS_One
PMC4824170	Genome_Biol_Evol
PMC5640691	Synth_Syst_Biotechnol
PMC5029938	PLoS_One
PMC5011921	BMC_Genomics
PMC4972966	Biol_Direct
PMC5630938	Database_
PMC4779560	BMC_Bioinformatics
PMC4765045	Algorithms_Mol_Biol
PMC5389718	Nucleic_Acids_Res
PMC4982196	Front_Microbiol
PMC4964750	Front_Plant_Sci
PMC5025075	PLoS_Genet
PMC4823159	Exp_Mol_Pathol
PMC5115800	PLoS_One
PMC4977614	Hered_Cancer_Clin_Pract
PMC4976873	PLoS_One
PMC4898800	Genome_Biol_Evol
PMC4835851	Algorithms_Mol_Biol
PMC4785745	BMC_Plant_Biol
PMC4777721	Front_Microbiol
PMC4825644	G3_
PMC4734447	PeerJ
PMC5381555	Genome_Biol_Evol
PMC5756490	Microbiology_
PMC5117502	BMC_Genomics
PMC5100261	BMC_Infect_Dis
PMC5047195	Proc_Natl_Acad_Sci_U_S_A
PMC4956267	PLoS_One
PMC5062983	Nucleic_Acids_Res
PMC5010895	Genome_Biol_Evol
PMC4920115	Bioinformatics
PMC5064177	Front_Microbiol
PMC5215416	Biotechnol_Bioeng
PMC4999140	PLoS_One
PMC4947184	Nat_Commun
PMC4860638	Sci_Rep
PMC4868596	Nat_Biotechnol
PMC4816345	PLoS_One
PMC4784306	BMC_Genomics
PMC5097390	BMC_Microbiol
PMC5053185	BMC_Microbiol
PMC5040160	Version_2
PMC5027413	Proc_Natl_Acad_Sci_U_S_A
PMC4922119	J_Clin_Microbiol
PMC4898810	Genome_Biol_Evol
PMC5108692	Mar_Genomics
PMC4818900	Biol_Direct
PMC4818426	Mob_DNA
PMC6743480	Science
PMC4772531	Genome_Biol
PMC4824035	Genome_Biol_Evol
PMC4895285	BMC_Genomics
PMC5093412	Sci_Rep
PMC5061060	Genom_Data
PMC5037627	BMC_Genomics
PMC5041013	Life_
PMC5001208	BMC_Bioinformatics
PMC4993860	Genom_Data
