PMC7681251	Cancer_Lett
PMC7176210	Annual_Update_in_Intensive_Care_and_Emergency_Medicine_2014
PMC7176185	Therapie_der_Krankheiten_im_Kindes-_und_Jugendalter
PMC7176168	Diagnose_en_therapie_2015–2016
PMC7176156	Annual_Update_in_Intensive_Care_and_Emergency_Medicine_2014
PMC7173039	Virology
PMC7172540	J_Clin_Virol
PMC7172205	Prev_Med
PMC7166743	J_Veg_Sci
PMC7165829	Literature_Compass
PMC7169160	Restor_Ecol
PMC7162391	Clin_Respir_J
PMC6837664	Redox_Rep
PMC6837574	Redox_Rep
PMC6837413	Redox_Rep
PMC7150262	Encyclopedia_of_Microbiology
PMC7149780	Encyclopedia_of_Food_Safety
PMC7149078	Science-Business_eXchange
PMC7149064	Science-Business_eXchange
PMC7149006	Asian_Pacific_Journal_of_Reproduction
PMC7148841	J_Air_Transp_Manag
PMC7144349	Appl_Math_Comput
PMC7132480	Virus_Res
PMC7131221	Med_Mal_Infect
PMC7131038	Int_J_Hosp_Manag
PMC7129393	Lancet_Infect_Dis
PMC7128741	Lancet_Infect_Dis
PMC7128668	Clin_Microbiol_Infect
PMC7128364	Clin_Microbiol_Infect
PMC7127269	J_Ethnopharmacol
PMC7127097	J_Ethnopharmacol
PMC7126926	Microbiol_Res
PMC7126559	Pathophysiology
PMC7124367	Comp_Immunol_Microbiol_Infect_Dis
PMC7124210	Biochim_Biophys_Acta_Biomembr
PMC7138454	J_Med_Chem
PMC7124008	Advances_in_Signal_Processing_and_Intelligent_Recognition_Systems
PMC7123751	Innere_Medizin
PMC7123351	Innere_Medizin
PMC7123224	Innere_Medizin
PMC7122974	Innere_Medizin
PMC7121882	Pediatric_Critical_Care_Medicine
PMC7121795	Uncommon_Diseases_in_the_ICU
PMC7121792	Diagnose_en_therapie_2015–2016
PMC7121239	Diagnose_en_therapie_2015–2016
PMC7120612	Pädiatrische_Notfall-_und_Intensivmedizin
PMC7120419	Reducing_Disaster:_Early_Warning_Systems_For_Climate_Change
PMC7120042	Distributed,_Ambient,_and_Pervasive_Interactions
PMC7124100	Springer_Handbook_of_Bio-/Neuroinformatics
PMC7122776	Metabolism_of_Human_Diseases
PMC7122685	Social_Computing_and_Social_Media
PMC7122435	Indoor_Air_Pollution
PMC7118765	Public_Health
PMC7115408	Eur_J_Med_Chem
PMC7115259	Am_J_Infect_Control
PMC7114129	J_Biotechnol
PMC7112804	Trends_Pharmacol_Sci
PMC7112318	J_Allergy_Clin_Immunol
PMC7111008	Biophys_J
PMC7110882	Int_J_Infect_Dis
PMC7109863	Acta_Biochim_Biophys_Sin_
PMC7102228	Clin_Rheumatol
PMC7102172	World_J_Surg
PMC7108300	Medicine_
PMC7108284	Spectrochim_Acta_A_Mol_Biomol_Spectrosc
PMC7105755	Expert_Rev_Proteomics
PMC7105753	Expert_Rev_Proteomics
PMC7105751	Expert_Rev_Mol_Diagn
PMC7105748	Expert_Rev_Anti_Infect_Ther
PMC7103729	Expert_Rev_Proteomics
PMC7103711	Expert_Rev_Anti_Infect_Ther
PMC7103684	Expert_Rev_Mol_Diagn
PMC7103677	Expert_Rev_Vaccines
PMC7098616	MAbs
PMC7100146	Tissue_Eng_Regen_Med
PMC7100063	Curr_Trop_Med_Rep
PMC7097477	Nat_Rev_Microbiol
PMC7094128	J_Theor_Biol
PMC7093871	Am_J_Pathol
PMC7091366	Arch_Pharm_Res
PMC7090452	Mol_Biotechnol
PMC7088921	Front_Med
PMC7088692	Russ_Chem_Bull
PMC7088639	Curr_Allergy_Asthma_Rep
PMC7086952	Arch_Virol
PMC4378291	Mol_Ther_Methods_Clin_Dev
PMC4535823	ARKIVOC
PMC4365865	Mol_Ther_Methods_Clin_Dev
PMC3969245	Virology
PMC3928596	Cytotherapy
PMC7083168	Online_J_Issues_Nurs
PMC6784040	J_Innate_Immun
PMC6663110	Struct_Equ_Modeling
PMC6501790	Neuroscience
PMC6496251	Cell_Prolif
PMC6493178	CNS_Neurosci_Ther
PMC6493164	CNS_Neurosci_Ther
PMC6493047	CNS_Neurosci_Ther
PMC6478387	Science
PMC6342275	Glia
PMC6305883	J_Med_Internet_Res
PMC6270856	Molecules
PMC6129379	J_Clin_Child_Adolesc_Psychol
PMC5850933	Integr_Biol_
PMC5761348	Struct_Equ_Modeling
PMC5644907	Obes_Facts
PMC5644809	Obes_Facts
PMC5586906	Med_Princ_Pract
PMC5586890	Med_Princ_Pract
PMC5586886	Med_Princ_Pract
PMC5586872	Med_Princ_Pract
PMC5459367	Circ_Heart_Fail
PMC5393257	Endocr_Rev
PMC5357604	Spine_J
PMC5256683	J_Neurooncol
PMC5090713	Bioorg_Med_Chem_Lett
PMC4973578	Biol_Blood_Marrow_Transplant
PMC4913803	J_Prim_Care_Community_Health
PMC4883005	Can_J_Physiol_Pharmacol
PMC4832694	Heart_Asia
PMC4757497	Science
PMC4755309	Biochem_Pharmacol
PMC4747630	J_Neurol_Neurosurg_Psychiatry
PMC4708079	J_Neurosurg
PMC4675592	J_Parasit_Dis
PMC4675577	J_Parasit_Dis
PMC4675576	J_Parasit_Dis
PMC4675575	J_Parasit_Dis
PMC4674507	J_Orthop
PMC4621761	Hum_Pathol
PMC4620657	Foodborne_Pathog_Dis
PMC4589252	Qual_Life_Res
PMC4584901	MMWR_Morb_Mortal_Wkly_Rep
PMC4584900	MMWR_Morb_Mortal_Wkly_Rep
PMC4584899	MMWR_Morb_Mortal_Wkly_Rep
PMC4584898	MMWR_Morb_Mortal_Wkly_Rep
PMC4584897	MMWR_Morb_Mortal_Wkly_Rep
PMC4584896	MMWR_Morb_Mortal_Wkly_Rep
PMC4564994	J_Neurosci_Methods
PMC4536922	Mol_Genet_Metab
PMC4513903	J_Radioanal_Nucl_Chem
PMC4512761	Int_J_Stat_Med_Res
PMC4502834	Afr_J_Prim_Health_Care_Fam_Med
PMC4478444	Gastroenterology
PMC4459292	Cereb_Cortex
PMC4443445	Lancet_Oncol
PMC4439187	Dev_Biol
PMC4421096	J_Orthop
PMC4415511	Pediatr_Blood_Cancer
PMC4411342	Genomics_Proteomics_Bioinformatics
PMC4396875	J_Vis_Exp
PMC4393388	Indian_J_Clin_Biochem
PMC4386752	J_Neurosurg
PMC4385326	Biochem_Biophys_Res_Commun
PMC4359595	Iran_J_Pediatr
PMC4359592	Iran_J_Pediatr
PMC4344320	Am_J_Sports_Med
PMC4341008	Brain_Struct_Funct
PMC4332841	Anal_Bioanal_Chem
PMC4332813	Hum_Pathol
PMC4332791	J_Am_Coll_Radiol
PMC4322948	J_Neurosurg
PMC4319207	Open_Respir_Med_J
PMC4319206	Open_Respir_Med_J
PMC4319196	Open_Respir_Med_J
PMC4319192	Open_Respir_Med_J
PMC4303591	J_Invest_Dermatol
PMC4298456	Fam_Process
PMC4287797	Meta_Gene
PMC4287790	Meta_Gene
PMC4286245	Annu_Rev_Clin_Psychol
PMC4276134	Calcif_Tissue_Int
PMC4275115	Am_J_Cardiol
PMC4267542	J_Intensive_Care
PMC4263156	J_Clin_Nurs
PMC4258537	Transl_Stroke_Res
PMC4255689	J_Pathol
PMC4252377	J_Oral_Biol_Craniofac_Res
PMC4249465	Soc_Cogn_Affect_Neurosci
PMC4249462	Soc_Cogn_Affect_Neurosci
PMC4230757	Cell_Regen
PMC4226937	Eur_Respir_J
PMC4215939	Clin_Pharmacol_Ther
PMC4209254	J_Allergy_Clin_Immunol
PMC4204336	Adv_Drug_Deliv_Rev
PMC4199803	Bioarchitecture
PMC4197899	Community_Ment_Health_J
PMC4196712	J_Alzheimers_Dis_Parkinsonism
PMC4192188	Indian_J_Hematol_Blood_Transfus
PMC4192162	Indian_J_Hematol_Blood_Transfus
PMC4192156	Indian_J_Hematol_Blood_Transfus
PMC4188413	Psychopharmacology_
PMC4181488	Influenza_Other_Respir_Viruses
PMC4181477	Influenza_Other_Respir_Viruses
PMC4175985	Child_Youth_Serv_Rev
PMC4175692	Indian_J_Clin_Biochem
PMC4171434	J_Digit_Imaging
PMC4170590	Br_J_Ophthalmol
PMC4167589	Psychopharmacology_
PMC4167390	Eur_Respir_J
PMC4167060	Mol_Pharm
PMC4165544	Worm
PMC4165538	Worm
PMC4158013	Cytotechnology
PMC4157572	Science
PMC4157371	Alcohol_Clin_Exp_Res
PMC4156114	Ann_Bot
PMC4154962	Organogenesis
PMC4154954	Organogenesis
PMC4153342	Vaccine
PMC4152325	Worm
PMC4151359	Chest
PMC4144445	Mol_Genet_Metab
PMC4142133	J_Ultrasound
PMC4130394	J_Pediatr_Surg
PMC4129241	Chromosome_Res
PMC4128895	Semin_Immunol
PMC4128578	Clin_Chem
PMC4124839	Cilia
PMC4122114	Science
PMC4122098	Facial_Plast_Surg
PMC4121372	Epigenetics
PMC4120244	Ann_Emerg_Med
PMC4119099	Mutat_Res_Rev_Mutat_Res
PMC4118662	Circ_Res
PMC4117835	Ultramicroscopy
PMC4117834	J_Clin_Child_Adolesc_Psychol
PMC4117833	J_Sex_Res
PMC4117832	Behav_Sleep_Med
PMC4117831	Leukemia
PMC4117829	Soc_Sci_Med
PMC4117828	Infect_Genet_Evol
PMC4117827	Biol_Psychiatry
PMC4117825	Pharmacol_Biochem_Behav
PMC4117823	Gut
PMC4117822	Mod_Pathol
PMC4116470	Chemosphere
PMC4116469	Semin_Immunol
PMC4116422	Am_J_Physiol_Lung_Cell_Mol_Physiol
PMC4116407	Am_J_Physiol_Lung_Cell_Mol_Physiol
PMC4115805	Am_J_Ophthalmol
PMC4115787	Tissue_Eng_Part_C_Methods
PMC4114545	Transcription
PMC4112422	J_Epidemiol_Community_Health
PMC4112383	J_Allergy_Clin_Immunol
PMC4111942	Global_Spine_J
PMC4111264	Adv_Synth_Catal
PMC4110975	Biotechnol_Bioeng
PMC4110938	J_Toxicol_Pathol
PMC4108796	Crit_Ultrasound_J
PMC4108774	J_Vet_Med_Sci
PMC4108773	J_Vet_Med_Sci
PMC4108252	Psychol_Med
PMC4104690	J_Immunol
PMC4104491	Epilepsia
PMC4104177	Parent_Sci_Pract
PMC4101689	Crit_Ultrasound_J
PMC4101666	Crit_Ultrasound_J
PMC4101575	Crit_Ultrasound_J
PMC4101568	Crit_Ultrasound_J
PMC4101565	Crit_Ultrasound_J
PMC4101563	Crit_Ultrasound_J
PMC4101547	Crit_Ultrasound_J
PMC4101546	Crit_Ultrasound_J
PMC4101461	Crit_Ultrasound_J
PMC4101439	Crit_Ultrasound_J
PMC4101430	Crit_Ultrasound_J
PMC4101407	Crit_Ultrasound_J
PMC4101390	Crit_Ultrasound_J
PMC4101381	Crit_Ultrasound_J
PMC4101376	Crit_Ultrasound_J
PMC4101373	Crit_Ultrasound_J
PMC4101368	Crit_Ultrasound_J
PMC4101360	Crit_Ultrasound_J
PMC4101358	Crit_Ultrasound_J
PMC4101346	Crit_Ultrasound_J
PMC4101334	Crit_Ultrasound_J
PMC4101305	Crit_Ultrasound_J
PMC4101303	Crit_Ultrasound_J
PMC4101293	Crit_Ultrasound_J
PMC4101292	Crit_Ultrasound_J
PMC4101288	Crit_Ultrasound_J
PMC4101279	Crit_Ultrasound_J
PMC4101276	Crit_Ultrasound_J
PMC4101269	Crit_Ultrasound_J
PMC4101267	Crit_Ultrasound_J
PMC4101263	Crit_Ultrasound_J
PMC4098649	Int_J_Obes_
PMC4095040	Int_J_Parasitol_Drugs_Drug_Resist
PMC4093748	J_Vis_Exp
PMC4091500	Rare_Dis
PMC4091377	Plant_Signal_Behav
PMC4091210	Worm
PMC4091159	Autophagy
PMC4091158	Autophagy
PMC4091154	Autophagy
PMC4091143	Autophagy
PMC4090298	Catheter_Cardiovasc_Interv
PMC4090255	Int_J_Obes_
PMC4085945	Pan_Afr_Med_J
PMC4085944	Pan_Afr_Med_J
PMC4085942	Pan_Afr_Med_J
PMC4085898	Pan_Afr_Med_J
PMC4085891	Pan_Afr_Med_J
PMC4085889	Pan_Afr_Med_J
PMC4083501	Arch_Biochem_Biophys
PMC4081827	J_Eat_Disord
PMC4077714	Soc_Sci_Med
PMC4074323	J_Urban_Health
PMC4074245	Psychopharmacology_
PMC4066898	Reprod_Toxicol
PMC4065810	J_Adolesc_Health
PMC4065367	Trop_Med_Int_Health
PMC4065366	Trop_Med_Int_Health
PMC4064648	Osong_Public_Health_Res_Perspect
PMC4064646	Osong_Public_Health_Res_Perspect
PMC4064640	Osong_Public_Health_Res_Perspect
PMC4064636	Osong_Public_Health_Res_Perspect
PMC4064635	Osong_Public_Health_Res_Perspect
PMC4064605	Br_J_Radiol
PMC4064599	Br_J_Radiol
PMC4064598	Br_J_Radiol
PMC4064597	Br_J_Radiol
PMC4064595	Br_J_Radiol
PMC4063852	Gut_Microbes
PMC4062918	Mol_Cancer
PMC4061466	Angiogenesis
PMC4059774	Breast_Cancer_Res_Treat
PMC4058408	Cell_Calcium
PMC4057633	Psychopharmacology_
PMC4057498	Crit_Care
PMC4057168	Crit_Care
PMC4056074	Crit_Care
PMC4054596	Genome_Biol
PMC4053986	Genome_Biol
PMC4053715	Genome_Biol
PMC4049065	J_Hosp_Med
PMC4048839	Science
PMC4048818	Contemp_Clin_Trials
PMC4048663	Angew_Chem_Int_Ed_Engl
PMC4048005	Saf_Health_Work
PMC4048004	Saf_Health_Work
PMC4047285	Hum_Mol_Genet
PMC4046860	Circ_Res
PMC4044538	J_Pediatr_Surg
PMC4044537	J_Pediatr_Surg
PMC4043927	Arch_Biochem_Biophys
PMC4042667	Drug_Alcohol_Depend
PMC4041210	Res_Lang_Soc_Interact
PMC4040346	Int_J_Parasitol
PMC4040322	J_Allergy_Clin_Immunol
PMC4040320	Am_J_Obstet_Gynecol
PMC4040319	J_Allergy_Clin_Immunol
PMC4040260	Nat_Rev_Immunol
PMC4039006	Soc_Sci_Med
PMC4037585	Eur_J_Popul
PMC4037502	Int_Orthop
PMC4037271	J_Dent_
PMC4037270	J_Dent_
PMC4037269	J_Dent_
PMC4037268	J_Dent_
PMC4037267	J_Dent_
PMC4037266	J_Dent_
PMC4037265	J_Dent_
PMC4037264	J_Dent_
PMC4037263	J_Dent_
PMC4037262	J_Dent_
PMC4037261	J_Dent_
PMC4037260	J_Dent_
PMC4037259	J_Dent_
PMC4037258	J_Dent_
PMC4037257	J_Dent_
PMC4037256	J_Dent_
PMC4036632	Mol_Phylogenet_Evol
PMC4036400	Dose_Response
PMC4035015	Lancet_Infect_Dis
PMC4034381	Circ_Res
PMC4033802	Neurol_Sci
PMC4033799	J_Orthop_Traumatol
PMC4031640	Chem_Senses
PMC4030783	Hum_Mol_Genet
PMC4028422	J_Vasc_Surg
PMC4028091	Hum_Gene_Ther
PMC4027990	Hum_Gene_Ther
PMC4027985	Hum_Gene_Ther
PMC4027773	ACS_Med_Chem_Lett
PMC4027736	ACS_Med_Chem_Lett
PMC4026922	J_Anxiety_Disord
PMC4026503	J_Gen_Intern_Med
PMC4023695	ACS_Med_Chem_Lett
PMC4023559	Rheumatology_
PMC4023538	Seizure
PMC4023412	Diabetes
PMC4023404	Mol_Syst_Biol
PMC4023403	Mol_Syst_Biol
PMC4023402	Mol_Syst_Biol
PMC4020600	Exp_Brain_Res
PMC4020011	Chembiochem
PMC4019740	Allergy_Rhinol_
PMC4019515	Exp_Cell_Res
PMC4019442	Clin_Cancer_Res
PMC4018821	Angew_Chem_Int_Ed_Engl
PMC4016987	Pediatr_Res
PMC4016985	Biochem_Biophys_Res_Commun
PMC4015911	Ital_J_Pediatr
PMC4015178	BMC_Bioinformatics
PMC4014522	Artif_DNA_PNA_XNA
PMC4014070	Cell_Calcium
PMC4013521	Cell_Death_Differ
PMC4013520	Cell_Death_Differ
PMC4013450	Mol_Biol_Rep
PMC4013206	Exp_Brain_Res
PMC4013148	Exp_Brain_Res
PMC4011990	Am_J_Obstet_Gynecol
PMC4011955	Behav_Processes
PMC4011429	Tissue_Eng_Part_A
PMC4010704	J_Clin_Endocrinol_Metab
PMC4010702	J_Clin_Endocrinol_Metab
PMC4010692	J_Clin_Endocrinol_Metab
PMC4009375	Cell_Rep
PMC4008677	Acta_Biomater
PMC4008641	Trends_Mol_Med
PMC4007512	Gait_Posture
PMC4006947	Neuroscience
PMC4006372	Circ_Res
PMC4006219	Osteoarthritis_Cartilage
PMC4005290	Neuropharmacology
PMC4004701	Nucl_Med_Biol
PMC4004665	Mol_Oncol
PMC4004644	J_Vasc_Surg
PMC4004287	ACS_Nano
PMC4002286	Alcohol_Clin_Exp_Res
PMC4001826	Soc_Sci_Med
PMC4001766	Neuroimage
PMC4000910	J_Neurovirol
PMC3999188	Lipids
PMC3998726	Int_J_Stat_Med_Res
PMC3998369	Acta_Crystallogr_Sect_E_Struct_Rep_Online
PMC3998368	Acta_Crystallogr_Sect_E_Struct_Rep_Online
PMC3998367	Acta_Crystallogr_Sect_E_Struct_Rep_Online
PMC3998366	Acta_Crystallogr_Sect_E_Struct_Rep_Online
PMC3998365	Acta_Crystallogr_Sect_E_Struct_Rep_Online
PMC3998273	Acta_Crystallogr_Sect_E_Struct_Rep_Online
PMC3998272	Acta_Crystallogr_Sect_E_Struct_Rep_Online
PMC3998271	Acta_Crystallogr_Sect_E_Struct_Rep_Online
PMC3998270	Acta_Crystallogr_Sect_E_Struct_Rep_Online
PMC3997769	Int_Orthop
PMC3997655	Circulation
PMC3997630	Angew_Chem_Int_Ed_Engl
PMC3996850	Eur_Radiol
PMC3996649	Clin_Cancer_Res
PMC3996172	Diabetol_Metab_Syndr
PMC3996119	Neurotherapeutics
PMC3995130	Circ_Res
PMC3994994	Am_J_Cardiol
PMC3993984	Tetrahedron_Lett
PMC3993946	Inorg_Chem
PMC3993612	Org_Lett
PMC3992482	Contemp_Clin_Trials
PMC3992220	Oecologia
PMC3992169	Pediatr_Res
PMC3992007	Hum_Gene_Ther_Methods
PMC3991008	Breast_Cancer_Res_Treat
PMC3990950	ACS_Chem_Neurosci
PMC3990843	Endocrinology
PMC3990595	Commun_Integr_Biol
PMC3989900	Biochem_Pharmacol
PMC3989748	Am_J_Physiol_Heart_Circ_Physiol
PMC3989721	Am_J_Physiol_Lung_Cell_Mol_Physiol
PMC3989698	EMBO_Rep
PMC3989643	EMBO_J
PMC3989501	Brain_Behav_Immun
PMC3988252	Virology
PMC3986920	Drug_Alcohol_Depend
PMC3986899	Behav_Ecol_Sociobiol
PMC3986659	Arthrosc_Tech
PMC3986618	Arthrosc_Tech
PMC3986502	Arthrosc_Tech
PMC3986496	J_Huntingtons_Dis
PMC3985708	Biochemistry
PMC3985677	Nucleic_Acids_Res
PMC3985676	Nucleic_Acids_Res
PMC3985675	Nucleic_Acids_Res
PMC3985673	Nucleic_Acids_Res
PMC3985671	Nucleic_Acids_Res
PMC3985669	Nucleic_Acids_Res
PMC3985668	Nucleic_Acids_Res
PMC3985667	Nucleic_Acids_Res
PMC3985663	Nucleic_Acids_Res
PMC3985662	Nucleic_Acids_Res
PMC3985661	Nucleic_Acids_Res
PMC3985647	Nucleic_Acids_Res
PMC3985443	J_Am_Chem_Soc
PMC3985407	FEBS_Lett
PMC3985165	Behav_Brain_Res
PMC3985087	Biochem_Biophys_Res_Commun
PMC3984925	Biochem_Biophys_Res_Commun
PMC3984904	Circ_Res
PMC3984580	Autophagy
PMC3984300	Cell_Cycle
PMC3984226	Environ_Health_Perspect
PMC3984223	Environ_Health_Perspect
PMC3983681	EMBO_J
PMC3983649	Eye_
PMC3983647	Eye_
PMC3983645	Eye_
PMC3983639	Eye_
PMC3983332	Langmuir
PMC3983029	Hear_Res
PMC3982983	Anal_Chem
PMC3982724	Plant_Physiol
PMC3980732	Synapse
PMC3980208	Eur_J_Histochem
PMC3980010	Cortex
PMC3979611	J_Physiol
PMC3979604	J_Physiol
PMC3979585	J_Popul_Ageing
PMC3979408	J_Biol_Chem
PMC3979104	Arthritis_Res_Ther
PMC3979030	Genome_Med
PMC3978879	Arthritis_Res_Ther
PMC3978827	Arthritis_Res_Ther
PMC3978312	Cell_Death_Differ
PMC3978309	Cell_Death_Differ
PMC3978303	Cell_Death_Differ
PMC3977888	J_Appl_Phys
PMC3977610	J_Antimicrob_Chemother
PMC3977180	Mol_Cell_Proteomics
PMC3976714	Acta_Biomater
PMC3975696	Clin_Cancer_Res
PMC3975695	Clin_Cancer_Res
PMC3975677	Clin_Cancer_Res
PMC3975663	Clin_Cancer_Res
PMC3975601	Water_Res
PMC3975078	Antiviral_Res
PMC3975049	FEBS_Lett
PMC3975046	Circ_Res
PMC3974150	BMC_Geriatr
PMC3972906	Pan_Afr_Med_J
PMC3972903	Pan_Afr_Med_J
PMC3972822	Tetrahedron_Lett
PMC3972339	Cancer_Lett
PMC3972333	Neuroscience
PMC3971348	Genome_Med
PMC3970427	J_Neurosci_Methods
PMC3969789	J_Mol_Biol
PMC3969586	Biochem_Pharmacol
PMC3969584	Vet_Microbiol
PMC3969492	AAPS_PharmSciTech
PMC3969475	AAPS_PharmSciTech
PMC3969153	Clin_Nucl_Med
PMC3967827	Clin_Infect_Dis
PMC3967826	Clin_Infect_Dis
PMC3967131	J_Immunol
PMC3967083	Psychopharmacology_
PMC3967077	Protein_Cell
PMC3967055	Protein_Cell
PMC3967010	Mass_Spectrom_
PMC3966927	Chemosphere
PMC3966189	Gynecol_Oncol
